DateTime,Entries,UniqueIPs
1576758627,3250,3270
1576762225,3253,3273
1576765826,3249,3269
1576770026,3249,3269
1576774227,3241,3261
1576782026,3244,3264
1576785627,3240,3260
1576789225,3239,3259
1576792827,3243,3263
1576796428,3246,3266
1576800027,3248,3268
1576803625,3252,3272
1576806627,3257,3277
1576810827,3257,3277
1576814426,3261,3281
1576818026,3260,3280
1576821626,3258,3278
1576833028,3247,3267
1576836026,3252,3272
1576839629,3255,3275
1576843226,3258,3278
1576850425,3253,3273
1576854028,3252,3272
1576857626,3258,3278
1576861227,3256,3276
1576864827,3261,3281
1576868430,3262,3282
1576872026,3254,3274
1576879226,3249,3269
1576882827,3252,3272
1576887027,3242,3262
1576891826,3247,3267
1576899025,3246,3266
1576902627,3244,3264
1576905625,3246,3266
1576910427,3237,3257
1576915226,3232,3252
1576926026,3229,3249
1576929627,3224,3244
1576933225,3220,3240
1576936829,3224,3244
1576940425,3220,3240
1576944027,3223,3243
1576947025,3218,3238
1576951227,3216,3236
1576954834,3213,3233
1576958426,3218,3238
1576961427,3215,3235
1576965627,3213,3233
1576969236,3218,3238
1576972232,3221,3241
1576976432,3223,3242
1576980031,3228,3247
1576983632,3231,3250
1576987229,3225,3244
1576990834,3228,3247
1576994432,3225,3244
1576998034,3230,3249
1577001029,3231,3250
1577005832,3226,3245
1577011232,3227,3246
1577014231,3231,3250
1577017831,3229,3249
1577021431,3231,3251
1577025030,3235,3255
1577028630,3234,3254
1577032233,3235,3255
1577036433,3232,3252
1577041232,3230,3250
1577044831,3235,3255
1577048431,3234,3254
1577052632,3234,3254
1577057432,3237,3257
1577061030,3243,3263
1577065235,3243,3263
1577070636,3244,3264
1577073630,3248,3268
1577080831,3253,3273
1577084428,3255,3275
1577088028,3256,3276
1577095227,3256,3276
1577098830,3256,3276
1577102428,3259,3279
1577106632,3255,3275
1577111435,3255,3275
1577114431,3261,3281
1577118629,3266,3286
1577122226,3268,3288
1577125839,3270,3290
1577129428,3269,3289
1577132429,3267,3287
1577136027,3271,3291
1577140233,3263,3283
1577147428,3267,3287
1577151034,3263,3283
1577154027,3258,3278
1577157629,3261,3281
1577161232,3259,3279
1577164827,3257,3277
1577172031,3255,3275
1577179828,3258,3278
1577183433,3259,3279
1577186431,3265,3285
1577190031,3266,3286
1577193032,3265,3285
1577197831,3262,3282
1577201433,3265,3285
1577204428,3266,3286
1577208031,3272,3292
1577212230,3268,3288
1577219430,3267,3286
1577222429,3269,3288
1577226034,3262,3281
1577230235,3261,3280
1577233830,3259,3278
1577237429,3261,3280
1577240430,3260,3279
1577248227,3262,3281
1577251833,3267,3286
1577255432,3268,3287
1577262630,3266,3285
1577266232,3266,3285
1577269827,3266,3285
1577277028,3262,3281
1577280630,3258,3277
1577284227,3260,3279
1577290828,3260,3279
1577298628,3256,3275
1577302227,3256,3275
1577305830,3256,3276
1577309427,3253,3273
1577313034,3252,3272
1577320227,3255,3275
1577323832,3258,3278
1577331032,3246,3266
1577338231,3249,3269
1577341225,3249,3269
1577349031,3245,3265
1577352627,3249,3269
1577356830,3253,3273
1577361629,3256,3276
1577365233,3259,3279
1577368832,3260,3280
1577372429,3255,3275
1577376030,3261,3281
1577379633,3259,3280
1577383231,3262,3283
1577386828,3262,3283
1577390430,3262,3283
1577394029,3262,3283
1577397634,3264,3285
1577401232,3266,3287
1577404839,3264,3285
1577408430,3266,3287
1577412033,3262,3283
