DateTime,AddedIPs,RemovedIPs
1576719025,21,23
1576722627,19,18
1576726225,21,21
1576729826,21,21
1576732824,23,20
1576737027,23,23
1576742427,22,23
1576746627,22,22
1576752027,20,22
1576755028,23,21
1576758627,23,23
1576762225,18,23
1576765826,22,17
1576770026,22,22
1576774227,22,23
1576782026,18,18
1576785627,21,23
1576789225,21,21
1576792827,22,20
1576796428,23,22
1576800027,21,23
1576803625,22,21
1576806627,22,22
1576810827,22,21
1576814426,23,23
1576818026,20,20
1576821626,19,22
1576833028,22,20
1576836026,20,20
1576839629,22,22
1576843226,23,22
1576850425,24,23
1576854028,19,20
1576857626,23,22
1576861227,22,22
1576864827,22,24
1576868430,24,24
1576879226,22,23
1576882827,19,21
1576887027,24,20
1576891826,24,24
1576899025,20,21
1576902627,21,22
1576905625,21,21
1576926026,25,23
1576936829,20,24
1576944027,16,17
1576947025,20,17
1576958426,19,21
1576965627,21,16
1576969236,22,24
1576972232,22,20
1576976432,23,23
1576980031,20,21
1576983632,22,23
1576987229,22,22
1576990834,20,22
1576994432,19,17
1576998034,23,23
1577001029,21,23
1577005832,21,19
1577011232,22,23
1577014231,22,21
1577017831,21,22
1577021431,23,20
1577025030,20,22
1577028630,22,20
1577032233,25,26
1577036433,25,25
1577041232,20,23
1577044831,23,19
1577048431,23,24
1577052632,21,23
1577057432,25,22
1577061030,24,24
1577065235,25,25
1577070636,23,24
1577073630,23,23
1577077233,19,22
1577080831,23,20
1577084428,22,24
1577088028,26,23
1577095227,18,19
1577098830,19,20
1577102428,21,20
1577106632,21,24
1577111435,23,19
1577114431,20,23
1577118629,24,23
1577122226,22,22
1577125839,17,19
1577129428,21,19
1577132429,19,20
1577136027,22,20
1577140233,18,19
1577147428,21,20
1577151034,20,23
1577157629,19,16
1577161232,23,22
1577164827,21,24
1577172031,21,20
1577179828,22,22
1577183433,23,23
1577186431,23,24
1577190031,18,17
1577193032,21,22
1577197831,21,21
1577201433,22,22
1577204428,21,20
1577208031,24,23
1577212230,23,24
1577219430,20,19
1577222429,19,20
1577226034,22,21
1577230235,23,23
1577237429,20,23
1577240430,21,20
1577248227,20,19
1577251833,20,20
1577255432,22,22
1577262630,18,18
1577266232,20,23
1577269827,23,20
1577277028,18,22
1577280630,19,16
1577284227,24,23
1577290828,22,23
1577298628,20,22
1577302227,23,20
1577305830,18,22
1577313034,17,14
1577320227,18,17
1577323832,22,21
1577331032,19,21
1577338231,21,20
1577341225,21,20
1577349031,18,19
1577352627,20,23
1577356830,19,18
1577361629,21,19
1577365233,21,21
1577368832,20,19
1577376030,22,22
1577379633,24,24
1577383231,23,22
1577386828,22,22
1577390430,19,22
1577394029,19,19
1577397634,20,20
1577401232,24,22
1577404839,22,22
1577408430,26,26
1577412033,20,20
1577415632,22,23
1577419232,24,22
1577422830,21,23
1577430032,20,20
1577436635,22,21
1577440832,20,25
1577444430,22,20
1577448033,22,22
1577451629,23,21
1577455232,23,23
1577458828,24,23
1577463034,24,24
1577471428,17,18
1577474433,22,23
1577481628,18,18
1577488832,20,20
1577492433,23,22
1577501431,24,23
1577505630,25,24
1577509828,23,26
1577514631,23,23
1577517632,22,20
1577521229,20,21
1577524829,21,22
1577529037,24,21
1577533234,24,27
1577537434,23,23
1577541629,23,21
1577545232,20,23
1577548830,23,21
1577553034,24,23
1577557837,25,25
1577561432,21,24
1577564430,22,19
1577568034,22,22
1577572230,20,21
1577575832,20,22
1577579430,21,21
1577584229,25,22
1577588432,23,23
1577592027,23,23
1577596233,22,22
1577602833,22,22
1577606430,23,24
1577609428,19,20
1577614832,23,21
1577620835,21,23
1577628033,18,17
1577635830,19,20
1577640628,23,23
1577644228,21,20
1577647229,22,23
1577654431,21,19
1577658029,21,21
1577662229,23,22
1577665827,22,23
1577669428,22,22
1577673031,23,22
1577676629,24,24
1577680231,21,22
1577683832,22,22
1577687430,20,21
1577694031,18,18
1577697633,21,21
1577701233,20,20
1577712627,21,22
1577716230,18,19
1577719231,22,19
1577723430,19,20
1577727033,21,22
1577730628,23,22
1577734229,19,22
1577737232,19,18
1577744432,18,17
1577748030,21,23
1577752230,22,20
1577755825,21,22
1577758831,22,22
1577762430,22,20
1577766029,21,22
1577769628,20,22
1577773831,19,19
1577777429,22,19
1577780430,19,21
1577784633,20,18
1577788229,24,23
1577795430,18,20
1577802632,21,18
1577806231,24,25
1577809832,20,19
1577813435,22,24
1577816433,20,21
1577820634,23,20
1577824229,22,24
1577827828,20,21
1577830830,23,21
1577834435,20,23
1577838629,25,21
1577842229,21,22
1577845227,21,21
1577852428,14,16
1577856629,21,19
1577860229,22,21
1577863833,20,23
1577868032,21,21
1577879432,20,21
1577883028,22,19
1577890231,17,18
1577897433,16,14
1577901633,19,23
1577905232,22,19
1577908228,25,24
1577911828,21,23
1577915429,23,21
1577922627,18,20
1577929829,19,18
1577933428,22,22
1577937031,21,20
1577940633,21,22
1577944230,21,21
1577947832,22,21
1577952030,22,22
1577955626,21,22
1577958633,20,21
1577965829,20,19
1577973029,18,19
1577977232,21,21
1577983830,20,21
1577987430,22,20
1577991630,21,22
1577995233,24,22
1578002431,21,21
1578006632,22,24
1578010232,22,21
1578016232,22,22
1578020433,20,23
1578024631,21,20
1578031232,22,21
1578035432,24,22
1578040830,20,23
1578045032,22,22
1578049232,19,20
1578052830,22,20
1578056429,21,20
1578059427,20,21
1578064230,22,23
1578069626,23,22
1578074427,21,22
1578078025,19,21
1578081626,21,17
1578085226,20,22
1578088226,21,18
1578091826,19,23
1578095426,17,16
1578099025,21,19
1578102626,20,21
1578109824,17,16
1578114027,19,21
1578118230,18,19
1578122426,21,18
1578126025,22,22
1578133825,17,19
1578137427,22,19
1578141025,20,21
1578144628,22,22
1578147626,22,21
1578151226,20,23
1578154826,17,18
1578158426,20,18
1578162026,22,22
1578169224,19,20
1578172827,20,20
1578176426,22,22
1578183626,18,18
1578191425,17,15
1578195627,19,21
1578200426,18,19
1578205226,23,19
1578210027,18,23
1578214827,22,19
1578218425,21,21
1578222628,22,22
1578227426,23,22
1578234625,22,23
1578238227,21,22
1578241825,18,20
1578245426,20,19
1578249026,22,18
1578252027,20,25
1578255625,19,18
1578259227,20,19
1578263427,23,22
1578267026,23,22
1578270626,22,25
1578274225,20,19
1578277827,20,20
1578281426,22,20
1578285026,21,21
1578292225,20,23
1578296426,24,22
1578301227,20,20
1578304226,18,19
1578308427,19,19
1578312025,19,19
1578315626,19,18
1578319827,20,20
1578324026,18,21
1578327626,20,19
1578333026,20,19
1578337827,22,20
1578340825,22,21
1578345027,21,24
1578349827,17,21
1578354027,21,16
1578359426,23,22
1578364826,20,23
1578370226,19,19
1578376227,16,18
1578381027,23,18
1578388227,16,18
1578391826,20,20
1578397828,16,18
1578403227,23,19
1578408027,23,23
1578414626,18,19
1578418827,23,22
1578424227,20,23
1578429027,20,19
1578433227,24,23
1578438028,22,23
1578441631,16,21
1578445226,18,15
1578449427,20,18
1578455427,19,19
1578461427,20,19
1578466228,19,22
1578471027,21,18
1578475228,20,21
1578480627,19,20
1578486027,22,20
1578493825,15,16
1578497428,21,21
1578501025,22,21
1578505827,20,20
1578511228,19,19
1578515428,22,22
1578519627,21,20
1578525627,18,21
1578531027,23,21
1578535228,20,21
1578539428,21,22
1578544227,18,17
1578549027,23,22
1578554428,21,22
1578559827,21,21
1578565228,22,21
1578570027,22,20
1578573026,20,22
1578576628,22,21
1578580226,23,22
1578583827,21,22
1578590428,17,19
1578597626,22,19
1578601227,25,25
1578604826,19,24
1578612627,21,19
1578615627,24,21
1578619827,23,26
1578624627,20,21
1578630027,23,21
1578635428,22,23
1578640227,22,21
1578646228,20,21
1578654627,21,22
1578660027,22,20
1578665427,18,20
1578670827,18,17
1578675627,19,19
1578679227,20,19
1578682828,21,22
1578686434,21,21
1578690026,22,20
1578693627,22,21
1578698428,21,21
1578702627,21,23
1578706829,21,21
1578712227,18,20
1578720026,20,18
1578724831,22,22
1578729628,23,22
1578733827,23,23
1578740427,22,23
1578745227,23,24
