DateTime,AddedIPs,RemovedIPs
1578568921,26,34
1578570121,17,25
1578570722,24,14
1578571321,33,0
1578571922,37,33
1578573121,22,17
1578573721,33,33
1578574921,23,34
1578576121,38,35
1578576721,34,0
1578577321,31,58
1578578522,30,0
1578579121,27,0
1578579721,41,18
1578580921,24,38
1578582122,36,69
1578582721,31,34
1578583921,39,26
1578584521,31,0
1578586321,30,45
1578586921,33,33
1578587521,23,27
1578588722,29,55
1578589321,25,37
1578589921,36,0
1578590522,16,30
1578591122,4,0
1578591722,44,4
1578592921,49,38
1578594121,30,26
1578594722,34,0
1578595321,24,9
1578595921,34,60
1578596521,24,0
1578597121,35,103
1578598921,16,38
1578600121,43,80
1578600722,35,29
1578601321,35,7
1578601922,35,0
1578602522,36,23
1578603721,39,62
1578604322,31,5
1578605521,32,0
1578606121,33,37
1578607322,48,60
1578607921,28,0
1578609121,30,32
1578609721,28,33
1578610922,20,63
1578611522,32,28
1578612121,40,0
1578613321,36,83
1578613921,10,0
1578614521,20,0
1578615121,4,15
1578615722,14,0
1578616921,42,8
1578618121,36,81
1578618721,35,0
1578619322,24,27
1578620521,33,68
1578621121,21,0
1578621721,16,0
1578622921,16,62
1578623522,3,33
1578624121,12,0
1578625321,12,31
1578625921,30,24
1578627121,30,27
1578627722,31,57
1578628921,36,30
1578629521,36,30
1578630121,22,0
1578631321,40,32
1578631921,26,0
1578632522,34,10
1578633121,29,0
1578634321,19,81
1578634921,10,26
1578636121,26,0
1578636722,32,26
1578637321,32,30
1578638521,39,15
1578639121,35,37
1578639721,30,0
1578640921,29,25
1578641521,31,35
1578642121,43,39
1578643322,21,24
1578643921,25,15
1578644521,34,0
1578645721,16,32
1578647522,33,43
1578648121,10,35
1578648722,3,36
1578649321,37,36
1578649921,35,33
1578651121,30,38
1578651722,27,28
1578652322,30,31
1578652921,11,31
1578654121,37,40
1578655922,30,42
1578656521,21,14
1578657121,34,14
1578657721,16,32
1578658922,38,34
1578660121,32,66
1578660721,33,30
1578661321,36,26
1578663121,22,33
1578663721,28,42
1578664321,38,46
1578664921,34,37
1578665521,38,34
1578666122,38,39
1578666721,33,0
1578667321,33,17
1578668521,27,0
1578669721,33,74
1578670922,41,64
1578672721,41,34
1578673321,33,40
1578673921,28,0
1578674521,33,13
1578675121,30,0
1578675721,22,70
1578676322,42,30
1578676922,35,6
1578677521,31,18
1578678122,30,38
1578678721,19,0
1578679321,28,0
1578680521,29,108
1578681721,29,11
1578682921,36,66
1578683521,43,0
1578684121,29,0
1578684722,42,40
1578685322,25,0
1578686522,28,41
1578687122,7,36
1578687721,24,44
1578688321,33,37
1578688921,42,36
1578689521,32,40
1578691321,33,78
1578692522,29,35
1578693121,29,32
1578693721,33,46
1578694922,21,35
1578696121,41,24
1578697321,35,56
1578697921,31,0
1578698521,32,51
1578699121,20,0
1578700322,36,20
1578700922,35,0
1578701521,27,11
1578702122,30,6
1578702721,36,24
1578703321,14,0
1578704521,25,27
1578705122,42,72
1578705722,34,0
1578706921,26,48
1578708121,35,4
1578709321,35,14
1578709922,29,5
1578710521,33,5
1578711721,11,38
1578712322,30,0
1578713522,34,35
1578714121,34,24
1578715321,26,25
1578716522,34,30
1578717121,37,63
1578717721,17,0
1578718921,25,85
1578720722,21,23
1578721322,29,8
1578722521,26,54
1578723121,38,34
1578723721,29,25
1578724922,32,0
1578725521,36,47
1578726121,16,45
1578727322,34,21
1578728521,29,71
1578729121,37,0
1578729722,33,0
1578730921,16,60
1578732121,28,48
1578733321,51,0
1578734521,40,28
1578735121,23,6
1578735721,8,15
1578736921,29,68
1578737521,32,0
1578738122,35,37
1578739321,25,45
1578739921,34,53
1578740521,14,0
1578741722,34,38
1578742921,15,28
1578744721,36,48
1578745322,28,34
1578746521,10,25
1578747122,37,0
1578748322,30,65
1578748921,32,0
1578750121,31,54
1578750721,40,48
1578751321,16,39
1578752521,32,41
1578753121,31,40
1578753721,33,28
1578754922,40,60
1578756121,25,0
1578757321,38,31
1578757921,44,41
1578759721,35,24
1578760321,40,55
1578760921,47,0
1578762122,14,96
1578763321,47,34
1578763921,33,34
1578764521,42,37
1578765721,9,104
1578766321,45,0
1578766921,38,0
1578768121,25,42
1578768721,43,28
1578769321,19,0
1578770521,31,63
1578771722,34,99
1578772922,10,35
1578774122,36,73
1578775322,35,34
1578775921,18,29
1578776522,10,0
1578777721,34,0
1578778921,32,75
1578780721,17,74
1578781321,1,0
1578781921,35,21
1578782521,38,29
1578783721,39,35
1578784922,36,75
1578785521,27,0
1578786121,33,18
1578786721,14,0
1578787321,24,95
1578787921,36,40
1578789121,36,0
1578789721,11,76
1578790322,33,0
1578790922,39,32
1578792721,15,76
1578793321,37,0
1578794521,36,60
1578795121,39,0
1578795721,47,35
1578796321,46,0
1578796922,40,58
1578798121,33,0
1578798721,33,22
1578799321,20,27
1578799921,38,0
1578800521,30,30
1578801721,34,78
1578802921,33,0
1578803521,38,111
1578805321,40,0
1578806521,43,35
1578807722,36,45
1578808921,36,34
1578809521,20,45
1578810121,42,33
1578811321,36,41
1578812521,14,41
1578813721,40,16
1578814322,37,35
1578815521,43,34
1578816121,35,40
1578817321,36,69
1578818521,33,30
1578820321,29,42
1578820922,32,0
1578821521,35,72
1578822721,30,0
1578823322,38,37
1578823921,37,22
1578824521,33,0
1578825721,25,75
1578826921,28,26
1578828122,45,55
1578829322,30,0
1578830521,32,7
1578831721,38,57
1578832321,25,0
1578832922,29,0
1578834121,39,44
1578834721,35,38
1578835921,40,34
1578836521,30,0
1578837121,15,80
1578837721,5,0
1578839522,37,51
1578840121,26,85
1578841321,43,38
1578843121,23,12
1578843722,31,37
1578844921,32,0
1578845522,39,31
1578846721,40,82
1578847321,36,0
1578847921,36,39
1578848521,26,0
1578849121,37,14
1578849722,35,41
1578850922,38,26
1578851521,36,35
1578852122,23,0
1578852721,32,24
1578853321,24,41
1578854521,37,44
1578855722,29,85
1578856921,36,35
1578858121,21,0
1578859321,36,34
1578861121,30,33
1578861722,35,0
1578862921,31,38
1578863521,38,0
1578864121,35,19
1578865322,27,27
1578866522,28,35
1578867721,22,4
1578868922,31,42
1578870121,32,33
1578871322,23,45
1578871922,16,59
1578872521,41,0
1578873121,36,63
1578874322,35,0
1578874921,53,32
1578875522,11,37
1578876121,38,28
1578876721,23,18
1578877321,36,38
1578878521,42,35
1578879722,29,15
1578880921,22,72
1578881521,5,0
1578882121,35,34
1578883321,33,69
1578884521,23,72
1578885721,17,53
1578886321,45,38
1578886921,44,41
1578887521,37,39
1578889321,17,34
1578889921,30,0
1578890521,50,0
1578891721,28,69
1578892322,23,0
1578892922,38,0
1578894121,33,62
1578894722,24,38
1578895321,41,0
1578896521,36,22
1578897121,28,0
1578897721,35,29
1578898321,33,35
1578898921,36,35
1578900121,22,39
1578901322,19,30
1578902521,32,78
1578903721,22,32
1578904322,38,0
1578904921,37,0
1578906121,27,39
1578907321,17,61
1578907922,33,0
1578908521,42,46
1578909122,12,0
1578909722,35,31
1578910922,46,108
1578911521,31,0
1578912122,21,0
1578912722,42,33
1578913322,26,29
1578914522,25,35
1578915121,15,0
1578915722,32,29
1578916921,35,0
1578918121,34,37
1578918722,32,24
1578919321,31,47
1578919922,37,0
1578920521,20,34
1578921721,16,0
1578922321,42,34
1578922921,36,66
1578923521,5,0
1578924121,28,10
1578925321,46,20
1578926521,34,61
1578927122,39,0
1578927721,36,0
1578928921,40,36
1578929521,34,33
1578930121,35,0
1578931321,32,32
1578931921,40,34
1578933121,16,31
1578933721,36,28
1578934322,34,65
1578934921,6,34
1578935521,39,38
1578936721,31,34
1578937321,34,0
1578937922,40,32
1578938522,40,73
1578939721,29,65
1578940321,35,0
1578940922,32,23
1578942121,32,0
1578943321,29,20
1578943921,35,34
1578944521,31,0
1578945721,38,17
1578946322,34,0
1578946921,38,26
1578948121,26,51
1578948722,25,0
1578949321,26,40
1578950522,36,55
1578951121,30,0
1578951721,35,16
1578952922,32,37
1578953521,35,0
1578954122,17,17
1578955922,9,29
1578956521,36,27
1578957721,33,20
1578958321,29,25
1578958921,22,23
1578960122,28,28
1578960721,29,37
1578961321,10,25
1578962521,39,53
1578963721,38,74
1578964921,17,30
1578966122,34,34
1578966721,19,0
1578967921,30,27
1578968521,30,0
1578969122,29,37
1578969721,38,0
1578970921,45,27
1578972121,24,29
1578973321,29,41
1578973921,15,33
1578974522,28,25
1578975722,14,0
1578976322,24,33
1578977521,9,70
1578978121,35,0
1578978721,34,65
1578979922,20,31
1578980521,24,27
1578981121,30,0
1578981721,23,0
1578982322,31,72
1578982922,28,0
1578983522,36,30
1578984121,26,35
1578985321,32,53
1578987121,40,63
1578988321,25,16
1578988922,33,0
1578989522,12,0
1578990121,36,26
1578991322,31,100
1578991921,32,0
1578993721,31,31
1578994322,36,6
1578994921,38,36
1578995521,22,75
1578996121,21,0
1578997321,30,31
1578997922,30,23
1578998521,24,63
1578999121,33,0
1578999721,27,0
1579000322,30,30
1579000921,32,25
