DateTime,Entries,UniqueIPs
1578568921,4227,4483
1578570121,4216,4475
1578570722,4227,4485
1578571321,4249,4518
1578571922,4252,4522
1578573121,4261,4527
1578573721,4260,4527
1578574921,4249,4516
1578576121,4254,4519
1578576721,4285,4553
1578577321,4269,4526
1578578522,4297,4556
1578579121,4323,4583
1578579721,4345,4606
1578580921,4330,4592
1578582122,4309,4559
1578582721,4308,4556
1578583921,4315,4569
1578584521,4345,4600
1578586321,4334,4585
1578586921,4333,4585
1578587521,4326,4581
1578588722,4304,4555
1578589321,4291,4543
1578589921,4324,4579
1578590522,4317,4565
1578591122,4321,4569
1578591722,4360,4609
1578592921,4370,4620
1578594121,4369,4624
1578594722,4397,4658
1578595321,4413,4673
1578595921,4387,4647
1578596521,4407,4671
1578597121,4343,4603
1578598921,4329,4581
1578600121,4295,4544
1578600722,4308,4550
1578601321,4338,4578
1578601922,4367,4613
1578602522,4380,4626
1578603721,4364,4603
1578604322,4386,4629
1578605521,4418,4661
1578606121,4414,4657
1578607322,4407,4645
1578607921,4432,4673
1578609121,4434,4671
1578609721,4432,4666
1578610922,4391,4623
1578611522,4394,4627
1578612121,4428,4667
1578613321,4384,4620
1578613921,4393,4630
1578614521,4409,4650
1578615121,4400,4639
1578615722,4414,4653
1578616921,4443,4687
1578618121,4408,4642
1578618721,4439,4677
1578619322,4430,4674
1578620521,4389,4639
1578621121,4410,4660
1578621721,4423,4676
1578622921,4385,4630
1578623522,4356,4600
1578624121,4368,4612
1578625321,4354,4593
1578625921,4358,4599
1578627121,4363,4602
1578627722,4334,4576
1578628921,4341,4582
1578629521,4342,4588
1578630121,4359,4610
1578631321,4370,4618
1578631921,4393,4644
1578632522,4417,4668
1578633121,4442,4697
1578634321,4398,4635
1578634921,4381,4619
1578636121,4402,4645
1578636722,4407,4651
1578637321,4413,4653
1578638521,4437,4677
1578639121,4436,4675
1578639721,4464,4705
1578640921,4466,4709
1578641521,4464,4705
1578642121,4467,4709
1578643322,4462,4706
1578643921,4468,4716
1578644521,4496,4750
1578645721,4483,4734
1578647522,4478,4724
1578648121,4454,4699
1578648722,4427,4666
1578649321,4423,4667
1578649921,4426,4669
1578651121,4419,4661
1578651722,4422,4660
1578652322,4417,4659
1578652921,4395,4639
1578654121,4388,4636
1578655922,4376,4624
1578656521,4380,4631
1578657121,4401,4651
1578657721,4386,4635
1578658922,4395,4639
1578660121,4364,4605
1578660721,4369,4608
1578661321,4378,4618
1578663121,4364,4607
1578663721,4353,4593
1578664321,4342,4585
1578664921,4339,4582
1578665521,4344,4586
1578666122,4342,4585
1578666721,4373,4618
1578667321,4385,4634
1578668521,4409,4661
1578669721,4374,4620
1578670922,4358,4597
1578672721,4369,4604
1578673321,4365,4597
1578673921,4387,4625
1578674521,4407,4645
1578675121,4433,4675
1578675721,4398,4627
1578676322,4408,4639
1578676922,4429,4668
1578677521,4442,4681
1578678122,4436,4673
1578678721,4453,4692
1578679321,4479,4720
1578680521,4411,4641
1578681721,4424,4659
1578682921,4399,4629
1578683521,4436,4672
1578684121,4456,4701
1578684722,4465,4703
1578685322,4487,4728
1578686522,4472,4715
1578687122,4444,4686
1578687721,4428,4666
1578688321,4424,4662
1578688921,4421,4668
1578689521,4413,4660
1578691321,4373,4615
1578692522,4361,4609
1578693121,4355,4606
1578693721,4338,4593
1578694922,4335,4579
1578696121,4348,4596
1578697321,4339,4575
1578697921,4365,4606
1578698521,4356,4587
1578699121,4371,4607
1578700322,4380,4623
1578700922,4412,4658
1578701521,4425,4674
1578702122,4447,4698
1578702721,4457,4710
1578703321,4470,4724
1578704521,4470,4722
1578705122,4435,4692
1578705722,4464,4726
1578706921,4443,4704
1578708121,4462,4735
1578709321,4478,4756
1578709922,4496,4780
1578710521,4524,4808
1578711721,4497,4781
1578712322,4524,4811
1578713522,4519,4810
1578714121,4531,4820
1578715321,4537,4821
1578716522,4542,4825
1578717121,4525,4799
1578717721,4541,4816
1578718921,4490,4756
1578720722,4487,4754
1578721322,4506,4775
1578722521,4484,4747
1578723121,4493,4751
1578723721,4498,4755
1578724922,4523,4787
1578725521,4514,4776
1578726121,4489,4747
1578727322,4498,4760
1578728521,4456,4718
1578729121,4490,4755
1578729722,4519,4788
1578730921,4480,4744
1578732121,4455,4724
1578733321,4504,4775
1578734521,4518,4787
1578735121,4529,4804
1578735721,4521,4797
1578736921,4488,4758
1578737521,4517,4790
1578738122,4518,4788
1578739321,4499,4768
1578739921,4481,4749
1578740521,4493,4763
1578741722,4494,4759
1578742921,4483,4746
1578744721,4472,4734
1578745322,4465,4728
1578746521,4448,4713
1578747122,4483,4750
1578748322,4451,4715
1578748921,4482,4747
1578750121,4457,4724
1578750721,4455,4716
1578751321,4433,4693
1578752521,4425,4684
1578753121,4417,4675
1578753721,4423,4680
1578754922,4405,4660
1578756121,4425,4685
1578757321,4433,4692
1578757921,4436,4695
1578759721,4447,4706
1578760321,4434,4691
1578760921,4472,4738
1578762122,4402,4656
1578763321,4417,4669
1578763921,4415,4668
1578764521,4412,4673
1578765721,4325,4578
1578766321,4367,4623
1578766921,4399,4661
1578768121,4382,4644
1578768721,4398,4659
1578769321,4414,4678
1578770521,4385,4646
1578771722,4335,4581
1578772922,4313,4556
1578774122,4276,4519
1578775322,4284,4520
1578775921,4273,4509
1578776522,4282,4519
1578777721,4312,4553
1578778921,4272,4510
1578780721,4217,4453
1578781321,4217,4454
1578781921,4230,4468
1578782521,4241,4477
1578783721,4245,4481
1578784922,4208,4442
1578785521,4231,4469
1578786121,4248,4484
1578786721,4256,4498
1578787321,4200,4427
1578787921,4191,4423
1578789121,4226,4459
1578789721,4172,4394
1578790322,4204,4427
1578790922,4214,4434
1578792721,4159,4373
1578793321,4192,4410
1578794521,4174,4386
1578795121,4208,4425
1578795721,4219,4437
1578796321,4265,4483
1578796922,4247,4465
1578798121,4280,4498
1578798721,4289,4509
1578799321,4283,4502
1578799921,4318,4540
1578800521,4322,4540
1578801721,4285,4496
1578802921,4314,4529
1578803521,4249,4456
1578805321,4288,4496
1578806521,4296,4504
1578807722,4289,4495
1578808921,4290,4497
1578809521,4265,4472
1578810121,4271,4481
1578811321,4269,4476
1578812521,4246,4449
1578813721,4265,4473
1578814322,4269,4475
1578815521,4278,4484
1578816121,4274,4479
1578817321,4241,4446
1578818521,4249,4449
1578820321,4236,4436
1578820922,4264,4468
1578821521,4232,4431
1578822721,4259,4461
1578823322,4257,4462
1578823921,4269,4477
1578824521,4300,4510
1578825721,4258,4460
1578826921,4258,4462
1578828122,4247,4452
1578829322,4271,4482
1578830521,4298,4507
1578831721,4281,4488
1578832321,4303,4513
1578832922,4329,4542
1578834121,4324,4537
1578834721,4319,4534
1578835921,4325,4540
1578836521,4351,4570
1578837121,4291,4505
1578837721,4295,4510
1578839522,4279,4496
1578840121,4229,4437
1578841321,4230,4442
1578843121,4242,4453
1578843722,4231,4447
1578844921,4257,4479
1578845522,4262,4487
1578846721,4220,4445
1578847321,4252,4481
1578847921,4246,4478
1578848521,4271,4504
1578849121,4294,4527
1578849722,4286,4521
1578850922,4296,4533
1578851521,4299,4534
1578852122,4320,4557
1578852721,4328,4565
1578853321,4311,4548
1578854521,4305,4541
1578855722,4261,4485
1578856921,4264,4486
1578858121,4282,4507
1578859321,4282,4509
1578861121,4281,4506
1578861722,4307,4541
1578862921,4304,4534
1578863521,4341,4572
1578864121,4350,4588
1578865322,4349,4588
1578866522,4342,4581
1578867721,4359,4599
1578868922,4351,4588
1578870121,4351,4587
1578871322,4331,4565
1578871922,4293,4522
1578872521,4334,4563
1578873121,4310,4536
1578874322,4339,4571
1578874921,4356,4592
1578875522,4333,4566
1578876121,4344,4576
1578876721,4344,4581
1578877321,4340,4579
1578878521,4348,4586
1578879722,4361,4600
1578880921,4323,4550
1578881521,4328,4555
1578882121,4328,4556
1578883321,4293,4520
1578884521,4243,4471
1578885721,4213,4435
1578886321,4213,4442
1578886921,4216,4445
1578887521,4217,4443
1578889321,4204,4426
1578889921,4228,4456
1578890521,4267,4506
1578891721,4224,4465
1578892322,4247,4488
1578892922,4279,4526
1578894121,4254,4497
1578894722,4239,4483
1578895321,4273,4524
1578896521,4282,4538
1578897121,4307,4566
1578897721,4312,4572
1578898321,4315,4570
1578898921,4311,4571
1578900121,4300,4554
1578901322,4293,4543
1578902521,4254,4497
1578903721,4247,4487
1578904322,4284,4525
1578904921,4317,4562
1578906121,4304,4550
1578907321,4265,4506
1578907922,4296,4539
1578908521,4289,4535
1578909122,4299,4547
1578909722,4298,4551
1578910922,4238,4489
1578911521,4265,4520
1578912122,4282,4541
1578912722,4292,4550
1578913322,4287,4547
1578914522,4277,4537
1578915121,4288,4552
1578915722,4294,4555
1578916921,4324,4590
1578918121,4324,4587
1578918722,4332,4595
1578919321,4320,4579
1578919922,4356,4616
1578920521,4344,4602
1578921721,4355,4618
1578922321,4364,4626
1578922921,4341,4596
1578923521,4346,4601
1578924121,4366,4619
1578925321,4389,4645
1578926521,4363,4618
1578927122,4402,4657
1578927721,4438,4693
1578928921,4444,4697
1578929521,4451,4698
1578930121,4485,4733
1578931321,4489,4733
1578931921,4501,4739
1578933121,4486,4724
1578933721,4488,4732
1578934322,4457,4701
1578934921,4430,4673
1578935521,4432,4674
1578936721,4434,4671
1578937321,4465,4705
1578937922,4475,4713
1578938522,4445,4680
1578939721,4408,4644
1578940321,4439,4679
1578940922,4442,4688
1578942121,4471,4720
1578943321,4482,4729
1578943921,4483,4730
1578944521,4509,4761
1578945721,4534,4782
1578946322,4565,4816
1578946921,4572,4828
1578948121,4553,4803
1578948722,4577,4828
1578949321,4560,4814
1578950522,4546,4795
1578951121,4574,4825
1578951721,4586,4844
1578952922,4582,4839
1578953521,4617,4874
1578954122,4617,4874
1578955922,4599,4854
1578956521,4609,4863
1578957721,4619,4876
1578958321,4625,4880
1578958921,4625,4879
1578960122,4632,4879
1578960721,4632,4871
1578961321,4617,4856
1578962521,4598,4842
1578963721,4573,4806
1578964921,4557,4793
1578966122,4555,4793
1578966721,4567,4812
1578967921,4566,4815
1578968521,4589,4845
1578969122,4577,4837
1578969721,4609,4875
1578970921,4627,4893
1578972121,4628,4888
1578973321,4620,4876
1578973921,4603,4858
1578974522,4604,4861
1578975722,4618,4875
1578976322,4606,4866
1578977521,4556,4805
1578978121,4587,4840
1578978721,4560,4809
1578979922,4554,4798
1578980521,4550,4795
1578981121,4577,4825
1578981721,4596,4848
1578982322,4567,4807
1578982922,4591,4835
1578983522,4596,4841
1578984121,4586,4832
1578985321,4571,4811
1578987121,4553,4788
1578988321,4557,4797
1578988922,4586,4830
1578989522,4595,4842
1578990121,4609,4852
