DateTime,AddedIPs,RemovedIPs
1578477721,1,1
1578478921,1,2
1578479522,1,0
1578480721,2,1
1578481921,6,1
1578484322,1,0
1578484921,1,0
1578485521,0,2
1578487321,0,1
1578489121,1,3
1578490321,1,0
1578491521,0,2
1578492721,5,0
1578493922,0,1
1578495121,0,2
1578496922,2,0
1578498122,34,1
1578498722,0,1
1578499921,0,2
1578501121,0,3
1578501721,0,1
1578502921,0,2
1578503522,0,1
1578505321,1,5
1578505921,1,0
1578507721,0,6
1578508921,1,2
1578510121,0,2
1578510721,1,0
1578511921,1,0
1578512521,3,2
1578513721,1,3
1578514922,0,3
1578516121,0,2
1578516721,8,0
1578517321,1,0
1578518521,1,1
1578519721,1,4
1578520922,1,4
1578521522,0,2
1578523921,2,3
1578524521,1,1
1578525721,2,0
1578528121,0,5
1578529322,0,3
1578529922,0,1
1578531122,2,3
1578532921,2,0
1578533522,0,5
1578535321,0,7
1578536521,2,3
1578537121,0,1
1578537721,1,3
1578538921,2,0
1578539522,0,1
1578540721,3,1
1578541921,1,5
1578543722,1,0
1578544321,0,2
1578545521,0,4
1578546721,0,2
1578547921,0,1
1578549722,4,3
1578550321,0,5
1578550921,1,0
1578552121,0,3
1578554521,0,2
1578555721,0,7
1578556921,2,5
1578557522,1,3
1578558721,2,6
1578560521,0,1
1578561722,0,4
1578562321,0,1
1578564721,1,5
1578565921,0,2
1578566521,0,2
1578568321,0,1
1578569522,3,1
1578570722,4,7
1578571922,1,0
1578573721,1,4
1578574921,0,2
1578576121,1,0
1578576721,0,1
1578577921,0,1
1578578522,0,2
1578579121,5,0
1578579721,3,0
1578581521,6,3
1578582122,0,1
1578583321,0,3
1578583921,0,2
1578584521,1,0
1578586321,0,5
1578586921,0,7
1578587521,0,15
1578588121,0,1
1578588721,2,0
1578589321,2,4
1578590522,1,0
1578591722,2,5
1578592921,0,2
1578594121,0,4
1578594722,1,0
1578595921,2,0
1578596521,0,5
1578597722,3,1
1578600121,0,2
1578601321,0,11
1578601922,4,0
1578603122,0,2
1578604322,0,2
1578605521,1,2
1578606121,0,2
1578606721,2,2
1578607921,3,0
1578608522,1,4
1578610922,3,4
1578612722,2,4
1578613921,0,4
1578614521,1,3
1578615121,4,0
1578615722,0,1
1578616921,2,0
1578617521,1,1
1578618721,2,9
1578619322,1,0
1578619921,1,22
1578621121,1,9
1578621721,2,3
1578622321,1,5
1578622921,2,3
1578623522,1,0
1578624121,0,4
1578625321,5,0
1578625921,1,5
1578627722,0,2
1578628921,2,0
1578630121,0,3
1578630721,1,0
1578631321,0,2
1578632522,0,3
1578633121,1,1
1578633721,1,1
1578634921,7,1
1578636121,1,0
1578636721,13,0
1578637321,0,1
1578638521,0,2
1578639121,1,0
1578639721,2,0
1578640921,1,5
1578641521,0,3
1578643321,0,5
1578643921,1,1
1578644521,1,4
1578645721,2,1
1578647522,1,7
1578648121,0,1
1578648722,0,1
1578649321,0,6
1578649921,1,7
1578650521,0,8
1578651722,1,0
1578652322,0,6
1578653521,1,2
1578654121,2,0
1578654721,0,5
1578655322,3,3
1578657121,3,2
1578658322,0,5
1578659521,0,3
1578660721,1,2
1578661921,2,4
1578663121,2,2
1578663721,3,0
1578664321,1,0
1578665521,2,4
1578667321,2,5
1578668521,0,3
1578669121,2,4
1578670321,1,0
1578670922,0,6
1578672121,0,3
1578672721,0,24
1578673921,3,1
1578674521,0,3
1578675721,1,0
1578676322,14,3
1578676922,0,1
1578678122,1,3
1578679321,0,5
1578679922,0,2
1578680521,0,2
1578681121,2,4
1578682921,0,7
1578684121,0,12
1578685322,0,1
1578686521,2,0
1578688321,0,16
1578689521,2,2
1578690121,1,0
1578690722,3,0
1578691321,8,1
1578692521,16,1
1578693121,1,3
1578693721,0,3
1578694321,1,1
1578694922,7,2
1578696121,9,2
1578697921,8,3
1578699121,2,4
1578699722,1,11
1578700921,2,5
1578702721,1,20
1578703321,1,13
1578703922,2,0
1578705122,8,8
1578705721,1,3
1578706921,0,6
1578708121,0,16
1578709922,1,0
1578710521,1,0
1578711121,1,7
1578711721,0,4
1578713522,0,2
1578714121,4,3
1578715321,4,11
1578716522,3,3
1578717121,1,3
1578717721,1,0
1578718321,4,1
1578718921,0,5
1578719521,1,2
