DateTime,Entries,UniqueIPs
1578516721,4757,4911
1578517321,4754,4908
1578518521,4756,4910
1578519721,4756,4910
1578520922,4752,4904
1578521522,4751,4903
1578522121,4751,4904
1578523921,4745,4898
1578524521,4747,4900
1578525721,4747,4900
1578526922,4744,4897
1578528121,4742,4895
1578529322,4743,4896
1578529922,4745,4899
1578531122,4747,4901
1578532321,4746,4900
1578532921,4748,4902
1578533522,4744,4898
1578534121,4745,4899
1578535321,4743,4897
1578536521,4743,4897
1578537121,4743,4898
1578537721,4742,4897
1578538921,4740,4895
1578539522,4733,4888
1578540721,4735,4891
1578541921,4737,4893
1578543722,4731,4887
1578544321,4725,4881
1578544921,4721,4876
1578545521,4722,4877
1578546121,4721,4876
1578546721,4719,4874
1578549722,4721,4875
1578550321,4718,4872
1578550921,4716,4870
1578552121,4715,4869
1578553322,4713,4867
1578554521,4710,4864
1578555721,4706,4858
1578556921,4705,4857
1578557522,4707,4859
1578558721,4708,4860
1578559321,4705,4857
1578561722,4704,4856
1578564721,4703,4855
1578565321,4702,4853
1578566521,4700,4851
1578568321,4698,4849
1578569522,4698,4849
1578570722,4700,4851
1578571321,4701,4852
1578571922,4701,4852
1578572521,4700,4851
1578573721,4701,4852
1578574322,4702,4853
1578575521,4700,4851
1578576121,4703,4854
1578576721,4699,4850
1578577321,4699,4850
1578579121,4704,4855
1578579721,4707,4858
1578580322,4705,4856
1578581521,4707,4859
1578582122,4704,4856
1578583321,4678,4830
1578584521,4675,4827
1578586321,4669,4820
1578586921,4670,4821
1578587521,4670,4821
1578588721,4659,4810
1578589321,4660,4811
1578589921,4655,4805
1578590522,4657,4807
1578591722,4654,4806
1578592921,4654,4806
1578594121,4652,4804
1578594722,4656,4808
1578595921,4654,4806
1578596521,4653,4805
1578597722,4656,4807
1578598921,4641,4792
1578600121,4635,4786
1578601321,4634,4785
1578601922,4638,4790
1578603122,4631,4780
1578604322,4629,4778
1578605521,4617,4766
1578606121,4616,4765
1578606721,4613,4762
1578607921,4610,4758
1578608522,4611,4759
1578609121,4612,4760
1578609721,4609,4757
1578610922,4608,4756
1578612722,4603,4751
1578613921,4599,4747
1578614521,4601,4749
1578615121,4603,4751
1578616921,4600,4747
1578617521,4596,4743
1578618721,4593,4741
1578619322,4595,4743
1578619921,4596,4744
1578621121,4590,4738
1578621721,4593,4742
1578622321,4594,4743
1578622921,4596,4745
1578623522,4590,4739
1578624121,4588,4737
1578625321,4593,4742
1578625921,4594,4743
1578626521,4593,4742
1578627722,4587,4736
1578628921,4586,4735
1578629521,4582,4731
1578630121,4579,4728
1578630721,4575,4724
1578632522,4573,4722
1578633121,4570,4719
1578633721,4571,4720
1578634921,4575,4725
1578635521,4573,4723
1578636121,4574,4724
1578636721,4584,4734
1578637321,4583,4733
1578638521,4583,4733
1578639121,4580,4730
1578639721,4582,4732
1578640921,4576,4725
1578643321,4577,4726
1578643921,4576,4726
1578644521,4577,4727
1578645721,4579,4729
1578647522,4581,4731
1578648722,4582,4732
1578649921,4584,4734
1578651722,4586,4736
1578652322,4587,4737
1578653521,4588,4738
1578654121,4590,4740
1578655322,4592,4743
1578657121,4596,4747
1578660121,4598,4749
1578660721,4599,4750
1578661921,4602,4753
1578663121,4604,4755
1578663721,4608,4759
1578664321,4612,4763
1578665521,4616,4767
1578667321,4610,4761
1578669121,4610,4761
1578669721,4608,4759
1578670321,4608,4759
1578670922,4611,4762
1578672121,4607,4758
1578672721,4606,4757
1578673921,4608,4759
1578674521,4609,4760
1578675721,4610,4761
1578676322,4624,4775
1578676922,4625,4776
1578678122,4623,4774
1578679321,4622,4773
1578679922,4620,4771
1578680521,4620,4771
1578681121,4621,4773
1578682921,4622,4774
1578683521,4623,4775
1578684121,4624,4776
1578684722,4624,4775
1578686521,4623,4774
1578689521,4622,4773
1578690121,4623,4775
1578690722,4623,4774
1578691321,4633,4784
1578692521,4649,4801
1578693121,4647,4800
1578693721,4644,4797
1578694321,4645,4798
1578694922,4652,4805
1578696121,4654,4808
1578697321,4653,4807
1578697921,4661,4815
1578698521,4662,4816
1578699121,4666,4820
1578699722,4662,4817
1578700921,4666,4821
1578702721,4668,4823
1578703321,4670,4825
1578703922,4673,4828
1578705122,4678,4833
1578705721,4677,4832
1578706921,4674,4827
1578708121,4670,4823
1578709321,4672,4825
1578709922,4670,4823
1578710521,4671,4824
1578711121,4672,4825
1578711721,4668,4821
1578713522,4668,4820
1578714121,4664,4817
1578715321,4668,4821
1578716522,4671,4823
1578717121,4670,4821
1578717721,4671,4822
1578718321,4672,4823
1578718921,4673,4824
1578719521,4671,4822
1578720121,4637,4788
1578721322,4639,4790
1578722521,4639,4790
1578723121,4636,4787
1578723721,4631,4782
1578724922,4633,4784
1578725521,4633,4784
1578726121,4643,4794
1578726721,4642,4793
1578727322,4642,4792
1578729121,4642,4792
1578729721,4643,4793
1578730321,4641,4791
1578731521,4640,4790
1578732121,4641,4791
1578733321,4642,4792
1578734521,4640,4790
1578735121,4649,4800
1578736322,4627,4778
1578736921,4634,4785
1578737521,4628,4779
1578738122,4620,4772
1578739321,4607,4756
1578739921,4609,4758
1578740521,4607,4756
1578741722,4601,4750
1578742321,4602,4751
1578742921,4601,4750
1578744721,4603,4752
1578745921,4604,4753
1578747122,4605,4754
1578748322,4604,4753
1578748921,4603,4752
1578750121,4604,4753
1578750721,4600,4749
1578752521,4601,4750
1578753721,4603,4753
1578754921,4602,4752
1578756121,4603,4753
1578756722,4605,4755
1578757321,4604,4754
1578758521,4603,4753
1578759721,4603,4753
1578760921,4605,4755
1578763321,4605,4754
1578763921,4609,4758
1578764521,4607,4754
1578765721,4606,4753
1578766921,4605,4752
1578768121,4601,4748
1578768721,4602,4749
1578769321,4603,4750
1578769921,4601,4747
1578770521,4600,4746
1578771722,4601,4747
1578772321,4599,4744
1578773522,4594,4738
1578774122,4596,4740
1578774721,4595,4739
1578775921,4598,4745
1578776521,4596,4743
1578777121,4598,4746
1578777721,4599,4747
1578778921,4602,4750
1578780721,4599,4746
1578781321,4598,4745
1578781921,4599,4746
1578783121,4601,4748
1578783721,4602,4749
1578784922,4602,4749
1578786121,4606,4753
1578786721,4607,4754
1578787321,4604,4750
1578788521,4605,4750
