DateTime,AddedIPs,RemovedIPs
1578592921,99,99
1578594121,100,100
1578594722,74,74
1578595921,97,97
1578596521,35,35
1578597722,75,75
1578598921,81,81
1578600121,13,13
1578601321,20,20
1578601922,47,47
1578603122,85,85
1578604322,88,88
1578604921,77,77
1578605521,60,60
1578606121,60,60
1578606721,57,57
1578607921,100,100
1578608522,64,64
1578609121,61,61
1578609721,30,30
1578610922,98,98
1578611521,49,49
1578612722,98,98
1578613921,100,100
1578614521,56,56
1578615121,65,65
1578615722,48,48
1578616921,95,95
1578617521,45,45
1578618721,74,74
1578619322,92,92
1578619921,81,81
1578621121,98,98
1578621721,87,87
1578622321,71,71
1578622921,61,61
1578623522,39,39
1578624121,35,35
1578625321,100,100
1578625921,66,66
1578626521,46,46
1578627722,95,95
1578628921,88,88
1578629521,44,44
1578630121,43,43
1578630721,49,49
1578631321,18,18
1578632522,84,84
1578633121,69,69
1578633721,44,44
1578634921,59,59
1578635521,56,56
1578636121,68,68
1578636721,55,55
1578637321,73,73
1578637921,19,19
1578638521,52,52
1578639121,66,66
1578639721,41,41
1578640921,89,89
1578641521,49,49
1578643321,86,86
1578643921,63,63
1578644521,57,57
1578645721,83,83
1578647522,94,94
1578648121,29,29
1578648722,63,63
1578649321,94,94
1578649921,38,38
1578650521,35,35
1578651722,100,100
1578652322,49,49
1578653521,82,82
1578654121,38,38
1578654721,28,28
1578655322,69,69
1578655922,67,67
1578657121,98,98
1578658322,82,82
1578658922,59,59
1578659521,57,57
1578660121,78,78
1578660721,57,57
1578661921,91,91
1578663121,89,89
1578663721,59,59
1578664321,73,73
1578665521,84,84
1578667321,86,86
1578668521,87,87
1578669121,76,76
1578669721,62,62
1578670321,53,53
1578670922,65,65
1578672121,98,98
1578672721,6,6
1578673921,89,89
1578674521,58,58
1578675121,35,35
1578675721,33,33
1578676322,73,73
1578676922,64,64
1578678122,100,100
1578678721,81,81
1578679321,72,72
1578679922,29,29
1578680521,64,64
1578681121,67,67
1578682921,97,97
1578683521,62,62
1578684121,65,65
1578684722,9,9
1578685322,27,27
1578686521,95,95
1578687122,50,50
1578687721,59,59
1578688321,42,42
1578689521,100,100
1578690121,69,69
1578690722,38,38
1578691321,45,45
1578692521,86,86
1578693121,73,73
1578693721,47,47
1578694321,62,62
1578694922,58,58
1578696121,74,74
1578697321,95,95
1578697921,72,72
1578698521,69,69
1578699121,78,78
1578699722,49,49
1578700921,94,94
1578701521,23,23
1578702721,87,87
1578703321,58,58
1578703922,85,85
1578705122,100,100
1578705721,46,46
1578706921,100,100
1578708121,98,98
1578708721,39,39
1578709321,45,45
1578709922,56,56
1578710521,75,75
1578711121,35,35
1578711721,45,45
1578712922,91,91
1578713522,50,50
1578714121,51,51
1578715321,96,96
1578716522,100,100
1578717121,48,48
1578717721,60,60
1578718321,74,74
1578718921,84,84
1578719521,55,55
1578720121,73,73
1578720722,46,46
1578721322,61,61
1578722521,99,99
1578723121,23,23
1578723721,63,63
1578724321,33,33
1578724922,82,82
1578725521,66,66
