DateTime,AddedIPs,RemovedIPs
1576612964,0,1
1576616624,0,2
1576620163,2,1
1576623823,4,1
1576627363,3,7
1576630964,1,0
1576634564,0,1
1576638165,1,1
1576645365,1,2
1576649023,1,1
1576652564,2,3
1576656224,2,0
1576659764,3,0
1576663364,0,2
1576670565,0,2
1576674164,1,2
1576677765,0,4
1576681364,1,0
1576685040,0,1
1576692164,1,1
1576699364,1,0
1576702964,2,1
1576706564,0,2
1576717366,1,0
1576720965,0,1
1576724564,1,0
1576731764,1,1
1576738965,2,1
1576753425,1,3
1576756966,2,0
1576760565,1,1
1576764165,1,1
1576767766,2,2
1576771425,2,0
1576775026,2,1
1576782286,2,2
1576793026,1,0
1576796626,2,1
1576800227,1,1
1576803766,1,0
1576807366,0,11
1576814567,1,9
1576818167,2,1
1576821767,1,1
1576829027,2,0
1576839766,0,1
1576843366,1,6
1576846966,2,0
1576850566,0,2
1576861367,0,3
1576864966,1,3
1576872167,2,1
1576879367,1,1
1576890168,0,4
1576893767,2,0
1576901027,0,1
1576904567,1,0
1576911828,8,3
1576915367,0,1
1576922628,0,1
1576933368,0,5
1576940567,1,1
1576944167,0,1
1576947828,2,0
1576951429,0,1
1576954968,2,0
1576962168,1,0
1576965768,2,0
1576969368,2,2
1576972968,1,1
1576983768,1,1
1576987428,4,0
1576990968,1,3
1576994568,1,2
1576998168,1,0
1577005428,0,1
1577012568,1,2
1577016168,1,2
1577019829,1,2
1577023428,1,1
1577034169,2,4
1577037769,1,1
1577041369,1,0
1577044969,1,1
1577048629,2,0
1577052229,1,0
1577055769,1,0
1577062969,2,0
1577066569,2,0
1577070169,0,2
1577073769,1,0
1577080969,0,3
1577084569,2,0
1577088169,2,0
1577091769,1,0
1577095369,2,0
1577096449,3,2
1577098970,0,1
1577102569,1,0
1577106169,1,1
1577109770,0,1
1577113370,1,0
1577116970,0,1
1577124171,0,1
1577127770,0,1
1577134971,0,4
1577138570,1,1
1577142171,2,0
1577145771,0,2
1577149371,1,0
1577156570,3,0
1577160171,0,1
1577163770,2,0
1577171031,1,1
1577174570,1,0
1577178171,0,1
1577181772,2,0
1577185371,0,1
1577188972,0,3
1577192571,1,0
1577199772,2,0
1577203431,1,0
1577206971,3,3
1577210571,3,0
1577214171,1,0
1577217832,1,0
1577221371,1,0
1577224971,1,3
