DateTime,AddedIPs,RemovedIPs
1576702964,2,0
1576710164,0,1
1576713764,0,1
1576717366,1,0
1576720965,0,12
1576724564,1,0
1576728165,0,8
1576731764,1,1
1576735365,0,1
1576738965,2,2
1576742565,0,1
1576746225,2,0
1576753425,1,1
1576756966,2,4
1576760565,1,2
1576764165,1,3
1576767766,2,1
1576771425,2,0
1576775026,4,3
1576778566,0,1
1576782286,2,3
1576785766,0,1
1576793026,1,1
1576796626,2,0
1576800227,1,0
1576803766,1,4
1576814567,1,0
1576818167,3,2
1576821767,2,5
1576825366,0,1
1576829027,2,2
1576832627,0,1
1576839766,0,1
1576843366,1,2
1576846966,2,4
1576850566,0,1
1576854167,0,1
1576857767,0,1
1576864966,1,7
1576872167,7,0
1576875769,8,0
1576879367,1,1
1576882968,0,2
1576886567,0,1
1576890168,0,1
1576893767,2,0
1576901027,0,1
1576904567,1,3
1576908229,1,1
1576911828,9,1
1576918968,0,1
1576926167,0,2
1576929767,0,2
1576933368,1,2
1576940567,1,1
1576947828,2,3
1576951429,0,1
1576954968,2,1
1576958628,0,1
1576962168,1,1
1576965768,2,0
1576969368,2,0
1576972968,1,0
1576983768,1,0
1576987428,4,2
1576990968,1,0
1576994568,1,1
1576998168,1,2
1577012568,1,2
1577016168,1,2
1577019829,2,1
1577023428,1,1
1577030569,0,1
1577034169,2,0
1577037769,1,1
1577041369,1,0
1577044969,1,1
1577048629,2,3
1577052229,2,1
1577055769,1,1
1577062969,2,2
1577066569,2,1
1577070169,0,1
1577073769,1,1
1577077369,1,0
1577084569,2,0
1577088169,2,1
1577091769,1,0
1577095369,2,1
1577096449,3,1
1577102569,1,3
1577106169,1,0
1577113370,1,0
1577120631,0,1
1577124171,0,2
1577138570,1,2
1577142171,2,1
1577149371,2,0
1577156570,3,1
1577163770,2,2
1577171031,1,3
1577174570,1,2
1577178171,0,1
1577181772,2,3
1577188972,0,1
1577192571,1,1
1577199772,2,2
1577203431,1,0
1577206971,3,0
1577210571,3,0
1577214171,3,1
1577217832,1,0
1577221371,1,0
1577224971,1,2
1577232172,0,1
1577235771,0,1
1577239432,1,2
1577242972,2,1
1577246633,2,1
1577250171,1,1
1577253773,1,1
1577260971,0,1
1577264573,1,2
1577271772,0,2
1577275372,0,1
1577286172,2,0
1577289772,1,1
1577293372,2,2
1577300572,0,1
1577307772,1,2
1577318573,2,1
1577322172,3,3
1577325773,11,0
1577332972,2,1
1577336573,0,1
1577340174,2,2
1577343772,3,3
1577347374,1,1
1577354573,2,1
1577361774,2,0
1577365433,1,0
1577368973,2,1
1577372573,3,5
1577376173,0,4
1577379774,1,2
1577383374,2,0
1577386974,0,1
1577390573,1,2
1577394175,1,2
1577397773,2,1
1577401374,0,1
1577404974,2,1
1577408574,10,0
1577415775,0,1
1577419375,0,1
1577422974,1,1
1577426574,0,1
1577430235,8,3
1577433774,0,1
1577440974,0,2
1577444574,1,1
1577448175,0,1
1577455374,0,1
1577458975,8,2
1577462574,1,1
1577469774,1,0
1577473374,1,2
1577476974,1,0
1577480574,3,1
1577484175,3,2
1577487775,0,1
1577491375,1,1
1577494975,1,0
1577502235,2,2
1577505775,1,1
1577512975,1,1
1577516575,3,2
1577520235,4,2
1577523775,1,0
1577527375,1,2
1577534575,1,0
1577538175,1,0
1577541775,1,0
1577548976,1,2
1577552575,0,1
1577556235,1,0
1577559775,2,1
1577563375,1,2
1577566976,1,1
1577570576,1,1
1577574178,0,2
1577577776,2,2
1577581376,3,0
1577585036,2,1
1577592176,0,1
1577595776,1,1
1577599376,1,0
1577602976,4,4
1577606576,2,2
1577610176,1,2
1577617376,1,1
1577620976,2,0
1577624576,0,5
1577628176,1,0
1577631777,1,1
1577635377,2,2
1577638977,3,1
1577642577,1,1
1577646177,1,1
1577649777,3,2
1577653377,2,1
1577656977,2,1
1577664177,0,2
1577667777,3,0
1577671377,2,3
1577674977,2,0
1577682178,2,2
1577689377,1,2
1577692977,3,1
1577696578,0,3
1577700177,1,1
1577703837,1,2
1577707378,0,2
1577710978,1,3
1577714578,1,2
1577718178,1,1
1577721778,2,3
1577725378,1,3
1577728978,2,1
1577732578,2,3
1577736178,1,1
1577739778,2,2
1577743378,1,0
1577746978,0,2
1577750578,6,4
1577750938,0,1
1577754178,1,1
1577761378,1,1
1577764979,1,1
1577768578,1,2
1577772179,0,1
1577775780,1,9
1577779380,1,2
1577782982,1,2
1577786578,13,0
1577790179,2,0
1577793779,1,1
1577797380,1,3
1577800980,1,0
1577804579,0,6
1577808179,4,0
1577811779,2,2
1577815380,1,1
1577818979,1,1
1577822579,2,1
1577829779,2,1
1577833380,2,2
1577836980,0,1
1577840579,1,0
1577844180,11,1
1577847779,2,0
1577854981,1,1
1577862180,2,3
1577865781,2,1
1577869381,2,1
1577876582,2,1
1577880182,1,2
1577883780,1,0
1577890980,0,1
1577894702,1,2
1577898182,0,1
1577901781,2,2
1577905382,1,2
1577908981,2,2
1577912582,8,1
1577916180,4,1
1577923382,3,1
1577926982,1,0
1577930582,0,1
1577934182,1,0
1577941382,1,2
1577945042,1,1
1577948582,2,3
1577952182,1,0
1577955782,0,1
1577966521,0,1
1577970181,1,1
1577973783,0,1
1577980982,3,1
1577984584,1,0
1577995382,1,2
1577998983,1,2
1578006183,1,1
1578009782,1,1
1578013382,5,1
1578020583,2,0
1578024182,2,1
1578027783,2,6
1578031382,0,2
1578034984,3,3
1578038585,7,0
1578042184,3,4
1578049383,0,1
1578052982,1,0
1578056583,1,1
1578063783,2,8
1578067383,0,6
1578070983,1,1
1578074583,5,0
1578085324,1,2
1578088923,0,1
1578092584,1,0
1578096183,1,3
1578098823,2,2
1578103383,1,1
1578106984,0,2
1578114184,1,2
1578117784,8,0
1578121386,2,1
1578124984,1,2
1578128584,1,7
1578132185,0,1
1578135786,1,2
1578139385,0,3
1578142984,2,0
1578153784,2,4
1578157384,0,1
1578164585,2,1
1578168185,0,1
1578175386,0,2
1578178985,0,4
1578182586,3,0
1578186185,0,2
1578189784,0,1
1578193385,0,5
1578196985,2,1
1578200585,2,3
1578204186,1,1
1578207785,2,2
1578211385,0,3
1578214985,2,3
1578218525,2,1
1578222185,1,0
1578225785,0,3
1578229385,1,0
1578236585,0,1
1578240185,1,1
1578243785,2,1
1578247385,1,0
1578254585,2,1
1578258186,0,1
1578265386,3,3
1578268926,1,1
1578283386,4,2
1578286986,1,1
1578290526,2,0
1578294186,1,1
1578297786,2,2
1578301326,1,1
1578304986,1,0
1578308586,3,1
1578322987,0,1
1578326587,1,1
1578333787,3,3
1578334599,128,0
1578337387,84,0
1578340987,36,2
1578344587,1,0
1578348187,3,0
1578351787,2,6
1578355387,1,2
1578358987,3,2
1578362587,0,1
1578366187,0,2
1578373387,2,7
1578376987,1,5
1578384188,1,19
1578387787,3,4
1578391327,1,0
1578394987,2,1
1578402187,0,3
1578405787,0,2
1578412928,1,3
1578420188,0,150
1578423788,0,33
1578430928,1,0
1578438128,1,0
1578441788,1,3
1578445388,0,1
1578448988,2,0
1578452588,1,0
1578456188,2,1
1578459788,1,2
1578463388,1,0
1578466988,1,1
1578470588,2,2
1578477789,1,1
1578481089,1,0
1578492130,2,1
1578495790,1,1
1578499389,1,0
1578502990,0,1
1578506590,1,1
1578510189,8,2
1578520929,1,0
1578528189,1,1
1578535389,4,1
1578542590,0,4
1578546131,2,3
1578549790,0,1
1578553389,0,1
1578556929,0,1
1578560590,0,1
1578564191,1,0
1578567730,2,1
1578571330,1,0
1578574931,1,2
1578578591,2,1
1578582190,2,0
1578585790,0,2
1578589390,1,2
1578596591,2,0
1578600191,5,2
1578610991,1,0
1578614592,1,1
1578625391,1,2
1578628991,0,1
1578632593,2,2
1578636191,1,1
1578643331,0,2
1578650592,0,2
1578661392,1,1
1578664931,2,0
1578668591,0,3
1578672191,2,1
1578675851,1,0
1578679331,2,1
1578683364,6,0
1578686544,1,1
1578690203,3,4
1578693744,1,1
1578697403,0,3
1578701004,0,61
1578704544,1,1
1578711743,4,2
1578719005,0,1
1578722544,0,1
1578726204,0,1
1578733404,1,1
1578737004,1,0
1578740545,1,1
1578744145,0,1
1578751344,2,0
1578755004,1,0
1578762205,0,1
1578765744,1,0
1578769405,1,1
1578772945,1,1
1578787405,1,1
1578791004,1,0
1578794604,0,1
1578798205,2,0
1578801745,1,1
1578809005,1,1
1578812605,1,1
1578816205,0,4
1578819745,0,1
1578823405,0,12
1578826705,0,1
1578827005,0,3
1578830606,1,2
1578834205,1,1
1578845006,19,0
1578848607,1,0
1578852206,0,1
1578859406,2,0
1578863007,3,2
1578873805,3,3
1578877405,0,1
1578891805,0,1
1578902606,1,0
1578906146,2,0
1578913406,3,3
1578916946,1,1
1578924206,0,1
1578931346,2,0
1578935006,1,0
1578938606,1,1
1578942146,3,3
1578945806,2,0
1578949346,1,1
1578952946,2,0
1578956606,1,1
1578967406,1,0
1578974546,1,1
1578978146,1,0
1578981747,1,1
1578988947,1,0
1578992607,0,2
1578999747,1,0
