DateTime,Entries,UniqueIPs
1576702964,1012,1012
1576710164,1011,1011
1576713764,1010,1010
1576717366,1011,1011
1576720965,999,999
1576724564,1000,1000
1576728165,992,992
1576731764,992,992
1576735365,991,991
1576738965,991,991
1576742565,990,990
1576746225,992,992
1576753425,992,992
1576756966,990,990
1576760565,989,989
1576764165,987,987
1576767766,988,988
1576771425,990,990
1576775026,991,991
1576778566,990,990
1576782286,989,989
1576785766,988,988
1576793026,988,988
1576796626,990,990
1576800227,991,991
1576803766,988,988
1576814567,989,989
1576818167,990,990
1576821767,987,987
1576825366,986,986
1576829027,986,986
1576832627,985,985
1576839766,984,984
1576843366,983,983
1576846966,981,981
1576850566,980,980
1576854167,979,979
1576857767,978,978
1576864966,972,972
1576872167,979,979
1576875769,987,987
1576879367,987,987
1576882968,985,985
1576886567,984,984
1576890168,983,983
1576893767,985,985
1576901027,984,984
1576904567,982,982
1576908229,982,982
1576911828,990,990
1576918968,989,989
1576926167,987,987
1576929767,985,985
1576933368,984,984
1576940567,984,984
1576947828,983,983
1576951429,982,982
1576954968,983,983
1576958628,982,982
1576962168,982,982
1576965768,984,984
1576969368,986,986
1576972968,987,987
1576983768,988,988
1576987428,990,990
1576990968,991,991
1576994568,991,991
1576998168,990,990
1577012568,989,989
1577016168,988,988
1577019829,989,989
1577023428,989,989
1577030569,988,988
1577034169,990,990
1577037769,990,990
1577041369,991,991
1577044969,991,991
1577048629,990,990
1577052229,991,991
1577055769,991,991
1577062969,991,991
1577066569,992,992
1577070169,991,991
1577073769,991,991
1577077369,992,992
1577084569,994,994
1577088169,995,995
1577091769,996,996
1577095369,997,997
1577096449,999,999
1577102569,997,997
1577106169,998,998
1577113370,999,999
1577120631,998,998
1577124171,996,996
1577138570,995,995
1577142171,996,996
1577149371,998,998
1577156570,1000,1000
1577163770,1000,1000
1577171031,998,998
1577174570,997,997
1577178171,996,996
1577181772,995,995
1577188972,994,994
1577192571,994,994
1577199772,994,994
1577203431,995,995
1577206971,998,998
1577210571,1001,1001
1577214171,1003,1003
1577217832,1004,1004
1577221371,1005,1005
1577224971,1004,1004
1577232172,1003,1003
1577235771,1002,1002
1577239432,1001,1001
1577242972,1002,1002
1577246633,1003,1003
1577250171,1003,1003
1577253773,1003,1003
1577260971,1002,1002
1577264573,1001,1001
1577271772,999,999
1577275372,998,998
1577286172,1000,1000
1577289772,1000,1000
1577293372,1000,1000
1577300572,999,999
1577307772,998,998
1577318573,999,999
1577322172,999,999
1577325773,1010,1010
1577332972,1011,1011
1577336573,1010,1010
1577340174,1010,1010
1577343772,1010,1010
1577347374,1010,1010
1577354573,1011,1011
1577361774,1013,1013
1577365433,1014,1014
1577368973,1015,1015
1577372573,1013,1013
1577376173,1009,1009
1577379774,1008,1008
1577383374,1010,1010
1577386974,1009,1009
1577390573,1008,1008
1577394175,1007,1007
1577397773,1008,1008
1577401374,1007,1007
1577404974,1008,1008
1577408574,1018,1018
1577415775,1017,1017
1577419375,1016,1016
1577422974,1016,1016
1577426574,1015,1015
1577430235,1020,1020
1577433774,1019,1019
1577440974,1017,1017
1577444574,1017,1017
1577448175,1016,1016
1577455374,1015,1015
1577458975,1021,1021
1577462574,1021,1021
1577469774,1022,1022
1577473374,1021,1021
1577476974,1022,1022
1577480574,1024,1024
1577484175,1025,1025
1577487775,1024,1024
1577491375,1024,1024
1577494975,1025,1025
1577502235,1025,1025
1577505775,1025,1025
1577512975,1025,1025
1577516575,1026,1026
1577520235,1028,1028
1577523775,1029,1029
1577527375,1028,1028
1577534575,1029,1029
1577538175,1030,1030
1577541775,1031,1031
1577548976,1030,1030
1577552575,1029,1029
1577556235,1030,1030
1577559775,1031,1031
1577563375,1030,1030
1577566976,1030,1030
1577570576,1030,1030
1577574178,1028,1028
1577577776,1028,1028
1577581376,1031,1031
1577585036,1032,1032
1577592176,1031,1031
1577595776,1031,1031
1577599376,1032,1032
1577602976,1032,1032
1577606576,1032,1032
1577610176,1031,1031
1577617376,1031,1031
1577620976,1033,1033
1577624576,1028,1028
1577628176,1029,1029
1577631777,1029,1029
1577635377,1029,1029
1577638977,1031,1031
1577642577,1031,1031
1577646177,1031,1031
1577649777,1032,1032
1577653377,1033,1033
1577656977,1034,1034
1577664177,1032,1032
1577667777,1035,1035
1577671377,1034,1034
1577674977,1036,1036
1577682178,1036,1036
1577689377,1035,1035
1577692977,1037,1037
1577696578,1034,1034
1577700177,1034,1034
1577703837,1033,1033
1577707378,1031,1031
1577710978,1029,1029
1577714578,1028,1028
1577718178,1028,1028
1577721778,1027,1027
1577725378,1025,1025
1577728978,1026,1026
1577732578,1025,1025
1577736178,1025,1025
1577739778,1025,1025
1577743378,1026,1026
1577746978,1024,1024
1577750578,1026,1026
1577750938,1025,1025
1577754178,1025,1025
1577761378,1025,1025
1577764979,1025,1025
1577768578,1024,1024
1577772179,1023,1023
1577775780,1015,1015
1577779380,1014,1014
1577782982,1013,1013
1577786578,1026,1026
1577790179,1028,1028
1577793779,1028,1028
1577797380,1026,1026
1577800980,1027,1027
1577804579,1021,1021
1577808179,1025,1025
1577811779,1025,1025
1577815380,1025,1025
1577818979,1025,1025
1577822579,1026,1026
1577829779,1027,1027
1577833380,1027,1027
1577836980,1026,1026
1577840579,1027,1027
1577844180,1037,1037
1577847779,1039,1039
1577854981,1039,1039
1577862180,1038,1038
1577865781,1039,1039
1577869381,1040,1040
1577876582,1041,1041
1577880182,1040,1040
1577883780,1041,1041
1577890980,1040,1040
1577894702,1039,1039
1577898182,1038,1038
1577901781,1038,1038
1577905382,1037,1037
1577908981,1037,1037
1577912582,1044,1044
1577916180,1047,1047
1577923382,1049,1049
1577926982,1050,1050
1577930582,1049,1049
1577934182,1050,1050
1577941382,1049,1049
1577945042,1049,1049
1577948582,1048,1048
1577952182,1049,1049
1577955782,1048,1048
1577966521,1047,1047
1577970181,1047,1047
1577973783,1046,1046
1577980982,1048,1048
1577984584,1049,1049
1577995382,1048,1048
1577998983,1047,1047
1578006183,1047,1047
1578009782,1047,1047
1578013382,1051,1051
1578020583,1053,1053
1578024182,1054,1054
1578027783,1050,1050
1578031382,1048,1048
1578034984,1048,1048
1578038585,1055,1055
1578042184,1054,1054
1578049383,1053,1053
1578052982,1054,1054
1578056583,1054,1054
1578063783,1048,1048
1578067383,1042,1042
1578070983,1042,1042
1578074583,1047,1047
1578085324,1046,1046
1578088923,1045,1045
1578092584,1046,1046
1578096183,1044,1044
1578098823,1044,1044
1578103383,1044,1044
1578106984,1042,1042
1578114184,1041,1041
1578117784,1049,1049
1578121386,1050,1050
1578124984,1049,1049
1578128584,1043,1043
1578132185,1042,1042
1578135786,1041,1041
1578139385,1038,1038
1578142984,1040,1040
1578153784,1038,1038
1578157384,1037,1037
1578164585,1038,1038
1578168185,1037,1037
1578175386,1035,1035
1578178985,1031,1031
1578182586,1034,1034
1578186185,1032,1032
1578189784,1031,1031
1578193385,1026,1026
1578196985,1027,1027
1578200585,1026,1026
1578204186,1026,1026
1578207785,1026,1026
1578211385,1023,1023
1578214985,1022,1022
1578218525,1023,1023
1578222185,1024,1024
1578225785,1021,1021
1578229385,1022,1022
1578236585,1021,1021
1578240185,1021,1021
1578243785,1022,1022
1578247385,1023,1023
1578254585,1024,1024
1578258186,1023,1023
1578265386,1023,1023
1578268926,1023,1023
1578283386,1025,1025
1578286986,1025,1025
1578290526,1027,1027
1578294186,1027,1027
1578297786,1027,1027
1578301326,1027,1027
1578304986,1028,1028
1578308586,1030,1030
1578322987,1029,1029
1578326587,1029,1029
1578333787,1029,1029
1578334599,1157,1157
1578337387,1241,1241
1578340987,1275,1275
1578344587,1276,1276
1578348187,1279,1279
1578351787,1275,1275
1578355387,1274,1274
1578358987,1275,1275
1578362587,1274,1274
1578366187,1272,1272
1578373387,1267,1267
1578376987,1263,1263
1578384188,1245,1245
1578387787,1244,1244
1578391327,1245,1245
1578394987,1246,1246
1578402187,1243,1243
1578405787,1241,1241
1578412928,1239,1239
1578420188,1089,1089
1578423788,1056,1056
1578430928,1057,1057
1578438128,1058,1058
1578441788,1056,1056
1578445388,1055,1055
1578448988,1057,1057
1578452588,1058,1058
1578456188,1059,1059
1578459788,1058,1058
1578463388,1059,1059
1578466988,1059,1059
1578470588,1059,1059
1578477789,1059,1059
1578481089,1060,1060
1578492130,1061,1061
1578495790,1061,1061
1578499389,1062,1062
1578502990,1061,1061
1578506590,1061,1061
1578510189,1067,1067
1578520929,1068,1068
1578528189,1068,1068
1578535389,1071,1071
1578542590,1067,1067
1578546131,1066,1066
1578549790,1065,1065
1578553389,1064,1064
1578556929,1063,1063
1578560590,1062,1062
1578564191,1063,1063
1578567730,1064,1064
1578571330,1065,1065
1578574931,1064,1064
1578578591,1065,1065
1578582190,1067,1067
1578585790,1065,1065
1578589390,1064,1064
1578596591,1066,1066
1578600191,1069,1069
1578610991,1070,1070
1578614592,1070,1070
1578625391,1069,1069
1578628991,1068,1068
1578632593,1068,1068
1578636191,1068,1068
1578643331,1066,1066
1578650592,1064,1064
1578661392,1064,1064
1578664931,1066,1066
1578668591,1063,1063
1578672191,1064,1064
1578675851,1065,1065
1578679331,1066,1066
1578683364,1072,1072
1578686544,1072,1072
1578690203,1071,1071
1578693744,1071,1071
1578697403,1068,1068
1578701004,1007,1007
1578704544,1007,1007
1578711743,1009,1009
1578719005,1008,1008
1578722544,1007,1007
1578726204,1006,1006
1578733404,1006,1006
1578737004,1007,1007
1578740545,1007,1007
1578744145,1006,1006
1578751344,1008,1008
1578755004,1009,1009
1578762205,1008,1008
1578765744,1009,1009
1578769405,1009,1009
1578772945,1009,1009
1578787405,1009,1009
